branch_code,branch_name,college_code,core_branch
664919110,Civil Engineering,6649,Civil Engineering
673219110,Civil Engineering,6732,Civil Engineering
675519110,Civil Engineering,6755,Civil Engineering
675619110,Civil Engineering,6756,Civil Engineering
675719110,Civil Engineering,6757,Civil Engineering
675819110,Civil Engineering,6758,Civil Engineering
675919110,Civil Engineering,6759,Civil Engineering
676219110,Civil Engineering,6762,Civil Engineering
676619110,Civil Engineering,6766,Civil Engineering
676719110,Civil Engineering,6767,Civil Engineering
676919110,Civil Engineering,6769,Civil Engineering
677119110,Civil Engineering,6771,Civil Engineering
678019110,Civil Engineering,6780,Civil Engineering
678119110,Civil Engineering,6781,Civil Engineering
678219110,Civil Engineering,6782,Civil Engineering
679419110,Civil Engineering,6794,Civil Engineering
679519110,Civil Engineering,6795,Civil Engineering
679619110,Civil Engineering,6796,Civil Engineering
679719110,Civil Engineering,6797,Civil Engineering
680319110,Civil Engineering,6803,Civil Engineering
681119110,Civil Engineering,6811,Civil Engineering
681519110,Civil Engineering,6815,Civil Engineering
682219110,Civil Engineering,6822,Civil Engineering
683919110,Civil Engineering,6839,Civil Engineering
687819110,Civil Engineering,6878,Civil Engineering
687819190L,Civil Engineering,6878,Civil Engineering
690119110,Civil Engineering,6901,Civil Engineering
1600619110,Civil Engineering,16006,Civil Engineering
1612119110,Civil Engineering,16121,Civil Engineering
327793410,Civil Engineering and Planning,3277,Civil Engineering
101224510,Computer Engineering,1012,Computer Science
112724510,Computer Engineering,1127,Computer Science
127624510,Computer Engineering,1276,Computer Science
225424510,Computer Engineering,2254,Computer Science
228224510,Computer Engineering,2282,Computer Science
250824510,Computer Engineering,2508,Computer Science
252224510,Computer Engineering,2522,Computer Science
263724510,Computer Engineering,2637,Computer Science
301224510,Computer Engineering,3012,Computer Science
302524570U,Computer Engineering,3025,Computer Science
303324510,Computer Engineering,3033,Computer Science
303324513K,Computer Engineering,3033,Computer Science
303524550F,Computer Engineering,3035,Computer Science
313524510,Computer Engineering,3135,Computer Science
313924510,Computer Engineering,3139,Computer Science
314324510,Computer Engineering,3143,Computer Science
314624510,Computer Engineering,3146,Computer Science
314724510,Computer Engineering,3147,Computer Science
314824510,Computer Engineering,3148,Computer Science
315424510,Computer Engineering,3154,Computer Science
317524510,Computer Engineering,3175,Computer Science
317624510,Computer Engineering,3176,Computer Science
318224510,Computer Engineering,3182,Computer Science
318324510,Computer Engineering,3183,Computer Science
318424510,Computer Engineering,3184,Computer Science
318524510,Computer Engineering,3185,Computer Science
318724510,Computer Engineering,3187,Computer Science
318824510,Computer Engineering,3188,Computer Science
318924510,Computer Engineering,3189,Computer Science
319024510,Computer Engineering,3190,Computer Science
319224510,Computer Engineering,3192,Computer Science
319324510,Computer Engineering,3193,Computer Science
319424510,Computer Engineering,3194,Computer Science
319624510,Computer Engineering,3196,Computer Science
319724510,Computer Engineering,3197,Computer Science
319824510,Computer Engineering,3198,Computer Science
319924510,Computer Engineering,3199,Computer Science
320124510,Computer Engineering,3201,Computer Science
320224510,Computer Engineering,3202,Computer Science
320324510,Computer Engineering,3203,Computer Science
320424510,Computer Engineering,3204,Computer Science
320624510,Computer Engineering,3206,Computer Science
320724510,Computer Engineering,3207,Computer Science
320824510,Computer Engineering,3208,Computer Science
320924510,Computer Engineering,3209,Computer Science
321024510,Computer Engineering,3210,Computer Science
321124510,Computer Engineering,3211,Computer Science
321224510,Computer Engineering,3212,Computer Science
321424510,Computer Engineering,3214,Computer Science
321524510,Computer Engineering,3215,Computer Science
321624510,Computer Engineering,3216,Computer Science
321724510,Computer Engineering,3217,Computer Science
321824510,Computer Engineering,3218,Computer Science
321924510,Computer Engineering,3219,Computer Science
322024510,Computer Engineering,3220,Computer Science
