College_Name,District,Other district,,,,,,
"G. H. Raisoni Institute of Business Management,Jalgaon","Management,Jalgaon",Jalgaon,,,,,,
"Sanjivani Rural Education Society's Sanjivani College of Engineering, Kopargaon",Kopargaon,Ahmednagar,,,,,,
"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",Ahmednagar,Ahmednagar,,,,,,
"Amrutvahini Sheti & Shikshan Vikas Sanstha's Amrutvahini College of Engineering, Sangamner",Sangamner,Ahmednagar,,,,,,
"P.S.G.V.P. Mandal's D.N. Patel College of Engineering, Shahada, Dist. Nandurbar",Nandurbar,Nandurbar,,,,,,
"T.M.E. Society's J.T.Mahajan College of Engineering, Faizpur",Faizpur,Jalgaon,,,,,,
"Nagaon Education Society's Gangamai College of Engineering, Nagaon, Tal Dist Dhule",Dhule,Dhule,,,,,,
"Hindi Seva Mandal's Shri Sant Gadgebaba College of Engineering & Technology, Bhusawal",Bhusawal,Jalgaon,,,,,,
"Godavari Foundation's Godavari College Of Engineering, Jalgaon",Jalgaon,Jalgaon,,,,,,
"R. C. Patel Institute of Technology, Shirpur",Shirpur,Dhule,,,,,,
"SNJB's Late Sau. Kantabai Bhavarlalji Jain College of Engineering, (Jain Gurukul), Neminagar,Chandwad,(Nashik)","Neminagar,Chandwad,(Nashik)",Nashik,,,,,,
"Matoshri College of Engineering and Research Centre, Eklahare, Nashik",Nashik,Nashik,,,,,,
"Vishwabharati Academy's College of Engineering, Ahmednagar",Ahmednagar,Ahmednagar,,,,,,
"Gokhale Education Society's, R.H. Sapat College of Engineering, Management Studies and Research, Nashik",Nashik,Nashik,,,,,,
"Kalyani Charitable Trust, Late Gambhirrao Natuba Sapkal College of Engineering, Anjaneri, Trimbakeshwar Road, Nashik",Nashik,Nashik,,,,,,
"Amruta Vaishnavi Education & Welfare Trust's Shatabdi Institute of Engineering & Research, Agaskhind Tal. Sinnar",Sinnar,Nashik,,,,,,
"MET's Institute of Technology Polytechnic, Bhujbal Knowledge City, Adgaon Nashik",Nashik,Nashik,,,,,,
"Matoshri Education Soceity, Matoshri Asarabai Polytechnic,Nashik","Polytechnic,Nashik",Nashik,,,,,,
"Matoshri Education Soceity, Matoshri Institute Of Technology, Dhanore, Nashik",Nashik,Nashik,,,,,,
"Hon. Shri. Babanrao Pachpute Vichardhara Trust, Group of Institutions (Integrated Campus)-Parikrama, Kashti Shrigondha,","Shrigondha,",Ahmednagar,,,,,,
"Jamia Institute Of Engineering And Management Studies, Akkalkuwa",Akkalkuwa,Nandurbar,,,,,,
"PUNE VIDYARTHI GRIHAƒ??S COLLEGE OF ENGINEERING & SHRIKRUSHNA S. DHAMANKAR INSTITUTE OF MANAGEMENT, NASHIK",NASHIK,Nashik,,,,,,
"Sandip Foundation's, Sandip Institute of Engineering & Management, Nashik",Nashik,Nashik,,,,,,
"Vardhaman Education & Welfare Society, Ahinsa Institute of Technology, Post. Dondaicha, Dhule",Dhule,Dhule,,,,,,
"Kedareshwar Gramin Vikas Pratishthan, Samajbhushan Eknathrao Dhakane College, of Engineering, Shevgaon",Shevgaon,Ahmednagar,,,,,,
"Adsul's Technical Campus, Chas Dist. Ahmednagar",Ahmednagar,Ahmednagar,,,,,,
"Shri. Jaykumar Rawal Institute of Technology, Dondaicha.",Dondaicha.,Dhule,,,,,,
"Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chhatrapati Shivaji Maharaj College of Engineering, Nepti",Nepti,Ahmednagar,,,,,,
"K.V.N. Naik S. P. Sansth's Loknete Gopinathji Munde Institute of Engineering Education & Research, Nashik.",Nashik.,Nashik,,,,,,
"College of Engineering and Technology ,North Maharashtra Knowledge City, Jalgaon",Jalgaon,Jalgaon,,,,,,
"Sanghavi College of Engineering, Varvandi, Nashik.",Nashik.,Nashik,,,,,,
"Jawahar Education Society's Institute of Technology, Management & Research, Nashik.",Nashik.,Nashik,,,,,,
"Vidya Niketan College of Engineering, Bota Sangamner",Sangamner,Ahmednagar,,,,,,
